,industry_name
209,Plastics - Pipes
210,Plastics - Sheets
211,Plastics - Thermoware
212,Pollution Control Equipment
213,Power Generation And Supply
214,Printing & Stationery
215,Pumps
216,Recreation / Amusement Parks
217,Refineries
218,Refractories / Intermediates
219,Retailing
220,Rubber - Products
221,Rubber - Retreading
222,Rubber - Synthetic
223,Securities/Commodities Trading Services
224,Ship - Breaking / Repairing
225,Shipping - Large
226,Shipping - medium / small
227,Soda Ash
228,Solvent Extraction - Large
229,Solvent Extraction - Medium / Small
230,Steel - Large
231,Steel - Medium / Small
232,Steel - Pig Iron
233,Steel - Rolling
234,Steel - Seamless Tubes
235,Steel - Sponge Iron
236,Steel - Tubes / Pipes
237,Steel - Wires
238,Sugar - Integrated
239,Sugar - Others
240,Tea - Indian - Large
241,Tea - Indian - Medium / Small
242,Tea - Processing And Trading
243,Telecommunications - Equipment - Large
244,Telecommunications - Equipment - Medium / Small
245,Telecommunications - Service Provider
246,Textile machinery
247,Textiles - Acrylic Fibre
248,Textiles - Composite/Cotton/Blended/Fabric - LARGE
249,Textiles - Composite/Cotton/Blended/Fabric - M/S
250,Textiles - Cotton Yarn - 100% EOUs
251,Textiles - Cotton Yarn - Open-Ended Spinning
252,Textiles - Denim Fabric
253,Textiles - Embroidery Fabric
254,Textiles - Hosiery / Knitwear
255,Textiles - Jute - Yarn / Products
256,Textiles - Manmade - Nylon
257,Textiles - Manmade - PFY / PSF - From Chips
258,Textiles - Manmade - PFY/PSF - InHouse Poly Condsn
259,Textiles - Manmade - Polypropylene Filament Yarn
260,Textiles - Others
261,Textiles - Processing
262,Textiles - Rayon
263,Textiles - Readymade Apparel
264,Textiles - Silk
265,Textiles - Spinning - Synthetic / Blended
266,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg
267,Textiles - Terry Towels
268,Textiles - Texturising
269,Textiles - Weaving
270,Textiles - Worsted Fabric
271,Trading - Large
272,Trading - Medium / Small
273,Transmisson Line Towers / Equipment
274,Transport - Airlines
275,Transport - Road
276,Travel Agencies
277,Tyres - Large
278,Tyres - Medium / Small
279,Vanaspati - Large
280,Watches & Accessories
